"","number","sp","Dataset","TraitValue","TraitValueClean","Lat","Lon","DataContributor","TraitName","TraitNameClean","extra","extra2"
"2233",2233,"Vaccinium myrtillus","""The Global Leaf Traits""","17.777777778","17.777777778","53.4","-1.5","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"2234",2234,"Vaccinium myrtillus","""Abisko""","15.31234466","15.31234466","68.44055","18.2747","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"2235",2235,"Vaccinium myrtillus","""Abisko""","19.10280374","19.10280374","68.44055","18.2747","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"2236",2236,"Vaccinium myrtillus","""Filia""","23.62","23.62","42.46391","0.96144","""Alba Anadon-Rosell""","""SLA"";;","SLA",NA,NA
"2237",2237,"Vaccinium myrtillus","""LOGH""","0.03","0.03","62.10253","12.34458","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2238",2238,"Vaccinium myrtillus","""LOGH""","0.03","0.03","62.10253","12.34458","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2239",2239,"Vaccinium myrtillus","""FUMB""","0.15","0.15","61.64506","12.59014","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2240",2240,"Vaccinium myrtillus","""Filia""","0.16","0.16","42.46391","0.96144","""Alba Anadon-Rosell""","""PlantHeight"";;","PlantHeight",NA,NA
"2241",2241,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.074","69.06550602","20.82696349","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2242",2242,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.076","69.045","20.831","""Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson""","""PlantHeight""","PlantHeight",NA,NA
"2243",2243,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","21.40513158","69.06455788","20.80066203","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""SLA""","SLA",NA,NA
"2244",2244,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.059","69.06393782","20.83234994","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2245",2245,"Vaccinium myrtillus","""Stillberg""","21.168","21.168","46.77","9.87","""Janet Prevey""","""SLA"";;","SLA",NA,NA
"2246",2246,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.082","69.06186763","20.8265966","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2247",2247,"Vaccinium myrtillus","""The Global Leaf Traits""","22.112408759","22.112408759","53.4","-1.5","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"2248",2248,"Vaccinium myrtillus","""Abisko""","0.06","0.06","68.355968","18.722872","""Martin Hallinger""","""PlantHeight"";;","PlantHeight",NA,NA
"2249",2249,"Vaccinium myrtillus","""Stillberg""","16.13694118","16.13694118","46.77","9.87","""Janet Prevey""","""SLA"";;","SLA",NA,NA
"2250",2250,"Vaccinium myrtillus","""Estais""","0.245","0.245","42.55029","1.04184","""Alba Anadon-Rosell""","""SeedMass"";;","SeedMass",NA,NA
"2251",2251,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","15.74520548","69.057084","20.81791681","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""SLA""","SLA",NA,NA
"2252",2252,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","23.3608","69.06639132","20.80265843","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""SLA""","SLA",NA,NA
"2253",2253,"Vaccinium myrtillus","""LOMB""","0.11","0.11","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
